Name,Facility Type,Address,City,County,State,Zip Code,Food Waste Accepted?,Feedstock,Source,Unique Identifier,Latitude,Longitude
Collins Chick Farm Digester,Farm,,Lamar,Darlington County,SC,29069,,animal manure - poultry,AgStar,AD224,,
Collinwood BioEnergy,Stand-Alone,8600 E Pleasant Valley Rd ,Cleveland,Cuyahoga County,OH,44131,Yes,Food waste,AD Data Collection Project - Stand-Alone,AD481,41.360887,-81.62200401
COLTON WRF,Water Resource Recovery Facility,1201 S. RANCHO AVE,Colton,San Bernardino County,CA,92324,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD835,34.05006804,-117.33185502
Columbia Boulevard WWTP,Water Resource Recovery Facility,5001 North Columbia Boulevard,Portland,Multnomah County,OR,97203,Yes,"Wastewater solids, Food waste",AD Data Collection Project - WRRF,AD1492,45.59697199,-122.71908397
COLUMBIA METRO WTP,Water Resource Recovery Facility,1200 Simmon Tree Ln,Columbia,Richland County,SC,29201,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD837,33.948975,-81.01253303
COLUMBIA WWTP (MO),Water Resource Recovery Facility,4900 W GILLESPIE BRIDGE RD,Columbia,Boone County,MO,65203,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD836,38.92223501,-92.40874301
COLUMBUS JACKSON PIKE WWTP & SEWERS,Water Resource Recovery Facility,2104 JACKSON PIKE,Columbus,Franklin County,OH,43223,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD839,39.911904,-83.01743699
COLUMBUS SOUTHERLY WWTP & SEWERS,Water Resource Recovery Facility,6977 S HIGH ST,Lockbourne,Franklin County,OH,43137,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1237,39.81265699,-83.01054598
CONESUS LAKE - Lakeville,Water Resource Recovery Facility,1997 D,Lakeville,Livingston County,NY,14480,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1196,42.8409955,-77.7059288
CONEY ISLAND WWTP NYCDEP - Brooklin,Water Resource Recovery Facility,2591 KNAPP STREET AT AVENUE Z,Brooklyn,Kings County,NY,11235,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD719,40.59040037,-73.93195066
CONNEAUT WWTP,Water Resource Recovery Facility,1206 BROAD ST EXT,Conneaut,Ashtabula County,OH,44030,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD840,41.96511663,-80.55308894
Connersville Utilities,Water Resource Recovery Facility,412 CENTRAL AVE,Connersville,Fayette County,IN,47331,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD841,39.640726,-85.13937898
Cooperstown STP,Water Resource Recovery Facility,,Cooperstown,Otsego County,NY,13326,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD843,42.6987166,-74.9281024
COOS BAY CITY OF WASTEWATER TREATMENT PLANT #1,Water Resource Recovery Facility,680 IVY AVENUE,Coos Bay,Coos County,OR,97420,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD844,43.37802303,-124.21803799
COOS BAY CITY OF WASTEWATER TREATMENT PLANT #2,Water Resource Recovery Facility,100 FULTON STREET,Coos Bay,Coos County,OR,97420,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD845,43.38578201,-124.28299204
CORCORAN WWTP,Water Resource Recovery Facility,1033 Chittenden,Corcoran,Kings County,CA,93212,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD847,36.09912599,-119.55933404
Cornerstone Dairy Digester,Farm,,Tipton,Tulare County,CA,93272,,animal manure - cattle/dairy cow,AgStar,AD385,,
CORNING WWTF,Water Resource Recovery Facility,25010 GARDINER FERRY RD.,Corning,Tehama County,CA,96021,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD848,39.9139534,-122.10259392
CORONA WWTP 1,Water Resource Recovery Facility,2205 Railroad St.,Corona,Riverside County,CA,92878,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD850,33.88945317,-117.60752899
Coronado Dairy Farm Digester,Farm,,Tipton,Tulare County,CA,93272,,animal manure - cattle/dairy cow,AgStar,AD386,,
CORRY CITY WTP,Water Resource Recovery Facility,100 SOUTH CENTER STREET,Corry,Erie County,PA,16407,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD853,41.91945099,-79.63977703
Corvallis Wastewater Reclamation Plant,Water Resource Recovery Facility,1304 NORTHEAST 2ND STREET,Corvallis,Benton County,OR,97330,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD856,44.57525701,-123.25436798
CottonWood Dairy Digester (Joseph Gallo Farms),Farm,,Atwater,Merced County,CA,95301,Yes,animal manure - dairy cow; Process Water,AgStar,AD8,,
Couco Creek Dairy Digester,Farm,,Turlock,Stanislaus County,CA,95380,,animal manure - cattle/dairy cow,,AD418,,
COUNCIL BLUFFS CITY OF STP,Water Resource Recovery Facility,18452 APPLEWOOD ROAD,Council Bluffs,Pottawattamie County,IA,51503,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD857,41.171962,-95.835001
Countryside Dairy Digester,Farm,,Tulare,Tulare County,CA,93274,,animal manure - cattle/dairy cow,,AD403,,
Coyne Farm Digester,Farm,,Avon,Livingston County,NY,14414,,animal manure - cattle/dairy cow,AgStar,AD12,,
Crave Brothers Farm Digester,Farm,,Waterloo,Jefferson County,WI,53594,Yes,animal manure - dairy cow; Dairy Processing Wastes,AgStar,AD449,,
Crawfordsville WWTP,Water Resource Recovery Facility,515 Bluff Street,Crawfordsville,Montgomery County,IN,47933,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD858,40.04639101,-86.91170902
Creek Acres Farm Digester,Farm,,Amsterdam,Saratoga County,NY,12019,,animal manure - cattle/dairy cow,AgStar,AD5,,
CRESCENT CITY WWTP,Water Resource Recovery Facility,277 BATTERY,Crescent City,Del Norte County,CA,95531,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD859,41.74729085,-124.20151815
Crescent Farm / Haverhill AD,Farm,,Haverhill,Essex County,MA,01835,Yes,animal manure - dairy cow; Food Wastes,AgStar,AD192,,
CRESTON CITY WATER TREATMENT PLANT,Water Resource Recovery Facility,710 South Lake Shore Drive,Creston,Union County,IA,50801,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD860,41.04755024,-94.3908551
CRMC Bioenergy LLC,Stand-Alone,300 Samuel Barnet Blvd,New Bedford,Bristol County,MA,02747,Yes,"Food waste, Beverage processing industry waste, Crude glycerin, Fats, oils and greases (FOG), Food processing industry waste, Wastewater solids (sludge)",AD Data Collection Project - Stand-Alone,AD537,41.72473292,-70.98068717
Cross Creek Water Reclamation Facility,Water Resource Recovery Facility,P. O. Box 1089,Fayetteville,Cumberland County,NC,28310,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD973,35.13851793,-79.00525634
CROWDERS CREEK WWTP,Water Resource Recovery Facility,5642 York Hwy,Gastonia,Gaston County,NC,28052,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1013,35.16617499,-81.19963999
CROWN POINT MUNICIPAL WWTP,Water Resource Recovery Facility,,Crown Point,Lake County,IN,46307,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD861,41.42073,-87.360875
CRYSTAL LAKE WWP #2,Water Resource Recovery Facility,1100 COVENTRY LANE,Crystal Lake,McHenry County,IL,60014,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD863,42.210787,-88.33625001
CULLMAN CITY OF WWTP,Water Resource Recovery Facility,1437 WELTI ROAD,Cullman,Cullman County,AL,35055,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD864,34.16220269,-86.81546445
Culver Duck Farms,Stand-Alone,12215 CR 10,Middlebury,Elkhart County,IN,46540,Yes,food processing waste; process water,AD Data Collection Project - Stand-Alone,AD526,41.70465902,-85.69909197
CUMBERLAND CNTY UTIL AUTH WATER ST WWTP,Water Resource Recovery Facility,333 WATER ST,Bridgeton,Cumberland County,NJ,08302,Yes,"Wastewater solids, Food waste",AD Data Collection Project - WRRF,AD710,39.41937201,-75.23581597
Cumberland Wastewater Treatment Pant,Water Resource Recovery Facility,400 E. OFFUT STREET EXTENDED,Cumberland,Allegany County,MD,21502,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD865,39.62548941,-78.75965094
Curtimade Dairy Digester,Farm,,Tulare,Tulare County,CA,93274,,animal manure - cattle/dairy cow,AgStar,AD404,,
D.C. TILLMAN WRP,Water Resource Recovery Facility,6100 WOODLEY AVE,Van Nuys,Los Angeles County,CA,91406,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1732,34.183411,-118.47822997
DAHLONEGA WPCP,Water Resource Recovery Facility,,Dahlonega,Lumpkin County,GA,30533,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD866,34.531015,-83.984395
Dairy Dreams Digester,Farm,,Casco,Kewaunee County,WI,54205,,animal manure - cattle/dairy cow,AgStar,AD64,,
"Dairy Energy, Inc. (Van der Hyde Dairy) Digester",Farm,,Chatham,Pittsylvania County,VA,24531,,animal manure - cattle/dairy cow,AgStar,AD74,,
Dairyland Digester,Farm,,Casco,Kewaunee County,WI,54205,,animal manure - cattle/dairy cow,AgStar,AD65,,
Dairyland Farms Digester,Farm,,Tipton,Tulare County,CA,93272,,animal manure - cattle/dairy cow,AgStar,AD387,,
Dallmann East River Dairy Digester,Farm,,Brillion,Calumet County,WI,54110,,animal manure - cattle/dairy cow,AgStar,AD44,,
Dalton Utilities WRRF,Water Resource Recovery Facility,2131 S Riverbend Rd,Dalton,Whitfield County,GA,30721,,wastewater solids,National Biosolids Data Project - https://www.biosolidsdata.org/,AD869,34.72264129,-84.93727203
Danbury Wastewater Pollution Control Facility,Water Resource Recovery Facility,53 Newtown Road,Danbury,Fairfield County,CT,06810,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD872,41.40320098,-73.41891801
Dane County Digester - Springfield Digester,Farm,,Middleton,Dane County,WI,53562,,animal manure - cattle/dairy cow,AgStar,AD267,,
DANVILLE Sanitary District,Water Resource Recovery Facility,16161 GRAPE CREEK ROAD,Danville,Vermilion County,IL,61834,Yes,"Wastewater solids, Food waste",AD Data Collection Project - WRRF,AD873,40.102512,-87.597026
DARRAGH STP,Water Resource Recovery Facility,RD 6 BOX 500 WOODWARD DRIVE,Greensburg,Westmoreland County,PA,15601,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1050,40.29025929,-79.57310432
Davenport Water Pollution Control Plant,Water Resource Recovery Facility,2606 S Concord,Davenport,Scott County,IA,52802,Yes,"Wastewater solids, Food waste, Rendering wastes",AD Data Collection Project - WRRF,AD874,41.49213901,-90.62752497
David High Digester,Farm,,Selinsgrove,Snyder County,PA,17870,,animal manure - swine,AgStar,AD361,,
DAVIS WWTP,Water Resource Recovery Facility,45400 COUNTY ROAD 28H,Davis,Yolo County,CA,95618,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD875,38.59076024,-121.66715282
DAYTON WWTP & SEWER SYSTEM,Water Resource Recovery Facility,2800 GUTHRIE RD,Dayton,Montgomery County,OH,45417,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD876,39.72461201,-84.231096
De Boer Dairy Digester,Farm,,Tulare,Tulare County,CA,93274,,animal manure - cattle/dairy cow,AgStar,AD405,,
De Groot South,Farm,,Visalia,Tulare County,CA,93291,,animal manure - cattle/dairy cow,,AD433,,
De Groot South Dairy Digester,Farm,,Hanford,Kings County,CA,93230,,animal manure - cattle/dairy cow,AgStar,AD171,,
Decade Centralized Dairy Digester,Farm,,Tulare,Tulare County,CA,93274,,animal manure - cattle/dairy cow,AgStar,AD406,,
DECATUR SD STP,Water Resource Recovery Facility,501 DIPPER LANE,Decatur,Macon County,IL,62522,Yes,"Wastewater solids, Food waste",AD Data Collection Project - WRRF,AD880,39.83583701,-89.00270301
"DECATUR, CITY OF",Water Resource Recovery Facility,985 AUSTIN AV,Decatur,Benton County,AR,72722,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD879,36.34295124,-94.47124323
DECORAH CITY OF STP,Water Resource Recovery Facility,1766 Old Stage Road,Decorah,Winneshiek County,IA,52101,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD881,43.29608802,-91.74735402
Deer Island (MWRA) WWTP,Water Resource Recovery Facility,190 TAFT AVENUE,Winthrop,Suffolk County,MA,02152,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1831,42.35611775,-70.96871082
Deer Run Dairy Digester,Farm,,Kewaunee,Brown County,WI,54208,Yes,animal manure - dairy cow; Process Water,AgStar,AD210,,
DEFIANCE WWTP & SEWER SYSTEM,Water Resource Recovery Facility,26273 STATE ROUTE 281,Defiance,Defiance County,OH,43512,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD882,41.29058102,-84.31822497
DEKALB SANITARY DISTRICT,Water Resource Recovery Facility,303 HOLLISTER AVENUE,Dekalb,DeKalb County,IL,60115,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD883,41.94336598,-88.741783
DEL CITY MUNICIPAL SVCS. AUTH,Water Resource Recovery Facility,4500 NORTHEAST 4TH STREET,Oklahoma City,Oklahoma County,OK,73117,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1408,35.46794898,-97.437209
Del Rio Dairy Digester,Farm,,Friona,Parmer County,TX,79035,,animal manure - cattle/dairy cow,AgStar,AD148,,
Delafield-Hartland WPCC,Water Resource Recovery Facility,416 BUTLER DRIVE,Delafield,Waukesha County,WI,53018,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD884,43.05700601,-88.408327
DELAND REGIONAL WWTF,Water Resource Recovery Facility,1101 South Amelia Avenue,Deland,Volusia County,FL,32724,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD885,29.00943199,-81.29814797
DELANO WWTP,Water Resource Recovery Facility,1107 Lytle Road,Delano,Kern County,CA,93215,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD886,35.77438818,-119.30309665
Delhi Township Wastewater Treatment Plant,Water Resource Recovery Facility,5961 McCue Road,Holt,Ingham County,MI,48842,Yes,"Wastewater solids, Food waste, Beverage processing industry waste, Fats, oils and greases (FOG), Fruit/vegetative wastes, Source-separated commercial, institutional or residential organic wastes",AD Data Collection Project - WRRF,AD1094,42.62220098,-84.57732099
Delta Diablo WWTP,Water Resource Recovery Facility,2500 Pittsburg-Antioch Hwy,Antioch,Contra Costa County,CA,94509,Yes,"Wastewater solids, Food waste, Fats, oils and greases (FOG)",AD Data Collection Project - WRRF,AD621,38.01560901,-121.841851
DELTA TOWNSHIP WASTEWATER TREATMENT PLANT,Water Resource Recovery Facility,7000 WEST WILLOW HIGHWAY,Lansing,Eaton County,MI,48917,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1200,42.75599301,-84.65294303
Demeter RNG / Madison Circularity Center,Farm,,Vienna,Dane County,WI,53529,Yes,"animal manure - dairy cow; Fats, Oils, Greases; Food Wastes",AgStar,AD431,,
den Dulk Dairy Digester,Farm,,Ravenna,Muskegon County,MI,49451,,animal manure - cattle/dairy cow,AgStar,AD336,,
Denison Municipal Utilities - WWTP,Water Resource Recovery Facility,2360 Arrowhead Dr.,Denison,Crawford County,IA,51442,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD888,42.00974788,-95.38251529
Derry Township Municipal Authority,Water Resource Recovery Facility,670 Clearwater Road,Hershey,Dauphin County,PA,17033,Yes,"Wastewater solids, Food waste, Fats, oils and greases (FOG), Food processing industry waste, Fruit/vegetative wastes, Retail food waste, Septage, Wastewater solids from other WRRFs",AD Data Collection Project - WRRF,AD1085,40.28502199,-76.68491401
Des Moines Metro WRA,Water Resource Recovery Facility,3000 Vandalia Road,Des Moines,Polk County,IA,50317,Yes,"Wastewater solids, Food waste, Beverage processing industry waste, Crude glycerin, De-icing fluid, Fats, oils and greases (FOG), Food processing industry waste, Food service waste, pre & post-consumer, Lab (or Pharma) wastes, Rendering wastes",AD Data Collection Project - WRRF,AD891,41.57319398,-93.55740498
Desert Hills Dairy,Farm,,Yerington,Lyon County,NV,89447,,animal manure - cattle/dairy cow,,AD462,,
Detroit Zoo,Farm,,Royal Oak,Oakland County,MI,48067,,Other,,AD352,,
Devil's Canyon Brewery AD,Stand-Alone,,San Carlos,San Mateo County,CA,94070,Yes,Beverage & Distillery Waste,,AD557,37.503733,-122.264927
DEWITT CITY OF STP,Water Resource Recovery Facility,511 South 6th Ave.,Dewitt,Clinton County,IA,52742,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD894,41.81011698,-90.53946796
Dexter waste water treatment plant,Water Resource Recovery Facility,8360 Huron st.,Dexter,Washtenaw County,MI,48130,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD895,42.3410673,-83.88776246
Dickinson College Digester,Stand-Alone,,Carlisle,Cumberland County,PA,17013,Yes,Food Waste; Beverage & Distillery Waste; Commercial Food Waste,,AD477,40.201024,-77.200274
DILLSBURG BORO WATER SYS,Water Resource Recovery Facility,151 SOUTH BALTIMORE STREET,Dillsburg,York County,PA,17019,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD897,40.10784599,-77.034663
DINUBA WRF,Water Resource Recovery Facility,6675 AVE 412,Dinuba,Tulare County,CA,93618,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD898,36.535425,-119.43031903
District 45 Dairy Digester - CNG,Farm,,Hancock,Stevens County,MN,56244,Yes,animal manure - dairy cow; Process Water,AgStar,AD169,,
Dixie Creek Dairy Digester,Farm,,Hanford,Kings County,CA,93230,,animal manure - cattle/dairy cow,AgStar,AD172,,
Dixon Correctional Center,Water Resource Recovery Facility,2600 North Brinton Ave,Dixon,Lee County,IL,61021,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD899,41.874167,-89.48006397
DJ South Dairy Digester,Farm,,Chowchilla,Madera County,CA,93610,,animal manure - cattle/dairy cow,AgStar,AD77,,
Dogfish Head Craft Brewery Digester,Stand-Alone,,Milton,Sussex County,DE,19968,Yes,Beverage & Distillery Waste,,AD529,38.774819,-75.311785
DOLGEVILLE (V) WWTP,Water Resource Recovery Facility,VAN BUREN STREET,Dolgeville,Herkimer County,NY,13329,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD900,43.09759383,-74.76873201
DOS RIOS WATER RECYCLING CENTER,Water Resource Recovery Facility,3495 VALLEY RD.,San Antonio,Bexar County,TX,78221,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1563,29.23925301,-98.41878602
DOSHIER FARMS WWTP - Temple,Water Resource Recovery Facility,2515 East Ave. H,Temple,Bell County,TX,76501,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1687,31.07834901,-97.31866802
Double D Dairy Digester,Farm,,Ceres,Stanislaus County,CA,95307,,animal manure - cattle/dairy cow,AgStar,AD70,,
Double Diamond Dairy Digester,Farm,,El Nido,Merced County,CA,95317,,animal manure - cattle/dairy cow,AgStar,AD120,,
Double J Dairy Digester,Farm,,Visalia,Tulare County,CA,93291,,animal manure - cattle/dairy cow,AgStar,AD434,,
Double L Dairy Digester,Farm,,Hanford,Kings County,CA,93230,,animal manure - cattle/dairy cow,AgStar,AD173,,
Douglas L Smith Middle Basin WWTP,Water Resource Recovery Facility,10001 College Blvd,Overland Park,Johnson County,KS,66210,Yes,"Wastewater solids, Food waste, Beverage processing industry waste, Fats, oils and greases (FOG), Food processing industry waste, Food service waste, pre & post-consumer",AD Data Collection Project - WRRF,AD1430,38.92631599,-94.69968202
Dovan Farms Digester,Farm,,Berlin,Somerset County,PA,15530,Yes,animal manure - dairy cow; Food Wastes; Process Water,AgStar,AD35,,
Downers Grove SD WWTC,Water Resource Recovery Facility,5003 Walnut Ave,Downers Grove,DuPage County,IL,60515,Yes,"Wastewater solids, Food waste, Fats, oils and greases (FOG), Food processing industry waste",AD Data Collection Project - WRRF,AD902,41.795696,-88.05132197
Drake Water Reclamation Facility,Water Resource Recovery Facility,3036 Environmental Drive,Fort Collins,Larimer County,CO,80525,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD985,40.55698202,-105.02244899
Drumgoon Dairy Digester,Farm,,Lake Norden,Hamlin County,SD,57248,,animal manure - cattle/dairy cow,AgStar,AD222,,
Dry Creek Dairy Digester,Farm,,Hansen,Twin Falls County,ID,83334,,animal manure - cattle/dairy cow,AgStar,AD188,,
DRY CREEK WWTP,Water Resource Recovery Facility,902 WILSON STREET N,Decatur,Morgan County,AL,35601,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD878,34.622942,-86.99781799
Dryden,Water Resource Recovery Facility,,Dryden,Tompkins County,NY,13053,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD903,42.49812,-76.30112
Dublin San Ramon Services District REgional WWTP,Water Resource Recovery Facility,7399 JOHNSON DRIVE,Pleasanton,Alameda County,CA,94588,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1477,37.687121,-121.91507204
Dubois Farm Digester,Farm,,Vergennes,Addison County,VT,05491,,animal manure - cattle/dairy cow,AgStar,AD429,,
Dubuque Water & Resource Recovery Center,Water Resource Recovery Facility,765 Julien Dubuque Drive,Dubuque,Dubuque County,IA,52003,Yes,"Wastewater solids, Food waste, Fats, oils and greases (FOG), Food processing industry waste, Wastewater solids from other WRRFs",AD Data Collection Project - WRRF,AD904,42.47095035,-90.65213261
DUNCAN PUA WWT,Water Resource Recovery Facility,909 WEST FULLER RD,Duncan,Stephens County,OK,73533,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD906,34.44957201,-97.96003499
Dundee STP,Water Resource Recovery Facility,,Dundee,Yates County,NY,14837,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD907,42.48436819,-77.11452056
DURANT UA WWT,Water Resource Recovery Facility,1222 DAVIS ROAD,Durant,Bryan County,OK,74701,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD910,33.93954291,-96.3516052
DURBIN CREEK - ReWa - Fountain Inn,Water Resource Recovery Facility,Inverary Drive,Fountain Inn,Laurens County,SC,29644,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD992,34.70668632,-82.16749342
Dykstra Dairy Digester,Farm,,Tulare,Tulare County,CA,93274,,animal manure - cattle/dairy cow,AgStar,AD407,,
E & J Gallo Fresno Winery,Stand-Alone,,Livingston,Merced County,CA,95334,Yes,Industrial Food Waste; crop residues,,AD521,37.385137,-120.723289
E & J Gallo Livingston Winery,Stand-Alone,,Fresno,Fresno County,CA,93721,Yes,Industrial Wastewater,,AD500,36.731654,-119.785856
"EAGLE GROVE, CITY OF STP",Water Resource Recovery Facility,1342 SW 9TH STREET,Eagle Grove,Wright County,IA,50533,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD913,42.65446271,-93.9147621
EAST BATON ROUGE CITY PARISH NORTH -,Water Resource Recovery Facility,50 WOODPECKER STREET,Scotlandville,East Baton Rouge ParishCounty,LA,70813,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1598,30.53308157,-91.2023294
East Bay Municipal Utility District Main Wastewater Treatment Plant,Water Resource Recovery Facility,2020 Wake Avenue,Oakland,Alameda County,CA,94607,Yes,"Wastewater solids, Food waste, Beverage processing industry waste, Crude glycerin, Fats, oils and greases (FOG), Food processing industry waste, Food service waste, pre & post-consumer, Lab (or Pharma) wastes, Rendering wastes, Septage",AD Data Collection Project - WRRF,AD1399,37.82355336,-122.29995604
East Dakotas Renewable Energy,Farm,,Beresford,Union County,SD,57004,,animal manure - cattle/dairy cow,,AD33,,
East Honolulu Wastewater Treatment Plant,Water Resource Recovery Facility,8480 Kalanianaole HWY,Honolulu,Honolulu County,HI,96825,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1097,21.28817701,-157.67219999
EAST LIVERPOOL WWTP,Water Resource Recovery Facility,500 W 4TH ST EXT,East Liverpool,Columbiana County,OH,43920,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD914,40.64336582,-80.60053958
EAST MOLINE WWTP,Water Resource Recovery Facility,101 19TH STREET,East Moline,Rock Island County,IL,61244,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD915,41.53209101,-90.42877303
EAST PENNSBORO TWP STP,Water Resource Recovery Facility,21 E DULLES DR,Camp Hill,Cumberland County,PA,17011,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD751,40.27305381,-76.92285737
"EAST PEORIA, CITY OF STP 1",Water Resource Recovery Facility,701 Cass Street,East Peoria,Tazewell County,IL,61611,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD916,40.66467698,-89.60478199
EAST WWTP - Lafayette,Water Resource Recovery Facility,144 Judy Street,Lafayette,Lafayette ParishCounty,LA,70501,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1185,30.215921,-92.000704
EASTERN OHIO REGIONAL WW AUTHORITY,Water Resource Recovery Facility,6000 NORTH GUERNSEY ST.,Bellaire,Belmont County,OH,43906,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD668,40.04466592,-80.73281422
EASTERN SNYDER CO REG AUTH WWTP,Water Resource Recovery Facility,SOUTH FRONT STREET,Selinsgrove,Snyder County,PA,17870,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1601,40.78152649,-76.85898066
EASTON AREA JOINT SEWER AUTHORITY WWTP,Water Resource Recovery Facility,50-A SOUTH DELAWARE DRIVE,Easton,Northampton County,PA,18042,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD919,40.67812901,-75.19293097
EATON WWTP (OH),Water Resource Recovery Facility,901 S BARRON ST,Eaton,Preble County,OH,45320,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD920,39.73268399,-84.63552602
EAU CLAIRE WWTP,Water Resource Recovery Facility,1000 FERRY ST,Eau Claire City,Eau Claire County,WI,54703,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD921,44.78365899,-91.53920496
